feature,importance
o3,0.31806898
month,0.26287264
day_of_year,0.14442585
o3_wind_interaction,0.0678735
is_spring,0.054613486
wind_speed_mps,0.040610503
week_of_year,0.018234648
so2_wind_interaction,0.005718901
pm25,0.0051291357
no2,0.004741931
no2_wind_interaction,0.004524466
co_wind_interaction,0.0040327194
aqi_lag3,0.003631399
pm25_pm10_ratio,0.003561586
co,0.0035574401
longitude,0.003312382
pm25_wind_interaction,0.003275958
pm10_wind_interaction,0.003231465
pm_total,0.0031157115
no2_co_ratio,0.0029593692
humidity_percent,0.0029483133
latitude,0.0029409193
aqi_lag1,0.0028689823
aqi_rolling7_std,0.0028491819
day_cos,0.0028354651
aqi_rolling7,0.0028029033
aqi_lag2,0.0027393077
pm10,0.0026025877
temperature_c,0.0024942432
lat_lon_interaction,0.0024312874
day,0.0024123173
aqi_rolling3_std,0.0023915886
day_of_week,0.002336092
aqi_rolling3,0.0022900857
so2,0.0021858849
year,0.001991466
month_sin,0.0013873634
hour,0.0
is_weekend,0.0
day_sin,0.0
hour_sin,0.0
hour_cos,0.0
is_summer,0.0
is_winter,0.0
is_autumn,0.0
quarter,0.0
month_cos,0.0
season_Spring,0.0
season_Summer,0.0
season_Winter,0.0
