date,city,latitude,longitude,pm25,pm10,o3,no2,so2,co,aqi,temperature_c,humidity_percent,wind_speed_mps,month,day
2019-01-01,Washington,38.9072,-77.0369,14.78,21.95,18.96,17.32,3.16,0.42,16,19.87,73.6,4.4,1,1
2019-01-02,Washington,38.9072,-77.0369,16.93,19.94,23.33,20.76,4.36,0.38,21,23.59,85.3,1.9,1,2
2019-01-03,Washington,38.9072,-77.0369,10.49,28.68,35.7,12.64,4.97,0.38,34,10.47,81.5,3.4,1,3
2019-01-04,Washington,38.9072,-77.0369,13.26,26.76,37.11,13.01,5.45,0.57,41,20.34,63.2,4.8,1,4
2019-01-05,Washington,38.9072,-77.0369,15.19,26.45,18.18,14.92,6.13,0.45,20,15.64,77.4,5.6,1,5
2019-01-06,Washington,38.9072,-77.0369,13.34,24.62,22.45,19.29,4.5,0.42,22,15.13,48.8,7.6,1,6
2019-01-07,Washington,38.9072,-77.0369,11.61,31.81,19.02,14.04,5.23,0.7,15,10.16,84.3,2.9,1,7
2019-01-08,Washington,38.9072,-77.0369,13.67,28.47,24.54,22.7,5.34,0.56,28,6.01,64.9,9.6,1,8
2019-01-09,Washington,38.9072,-77.0369,13.98,34.69,18.49,26.75,3.45,0.54,29,11.27,63.6,3.0,1,9
2019-01-10,Washington,38.9072,-77.0369,12.65,20.62,35.64,25.85,6.72,0.4,37,13.6,85.4,7.2,1,10
2019-01-11,Washington,38.9072,-77.0369,7.23,20.58,40.55,26.02,3.96,0.55,36,17.84,82.3,5.9,1,11
2019-01-12,Washington,38.9072,-77.0369,11.39,29.09,34.82,19.8,6.86,0.69,37,5.52,77.4,5.1,1,12
2019-01-13,Washington,38.9072,-77.0369,10.35,33.34,23.98,12.81,3.62,0.46,24,12.4,54.8,3.2,1,13
2019-01-14,Washington,38.9072,-77.0369,11.79,16.47,22.34,19.47,5.97,0.45,20,9.01,89.8,6.4,1,14
2019-01-15,Washington,38.9072,-77.0369,7.83,25.22,39.88,24.19,3.54,0.43,41,11.06,89.2,1.2,1,15
2019-01-16,Washington,38.9072,-77.0369,16.88,16.04,27.34,18.25,6.59,0.39,24,22.74,38.9,4.9,1,16
2019-01-17,Washington,38.9072,-77.0369,12.5,21.96,18.05,12.4,5.46,0.6,18,9.18,50.1,8.8,1,17
2019-01-18,Washington,38.9072,-77.0369,10.3,27.93,39.44,14.71,5.4,0.6,39,5.63,56.6,6.4,1,18
2019-01-19,Washington,38.9072,-77.0369,16.34,19.27,21.14,21.64,3.22,0.43,20,15.38,37.2,7.3,1,19
2019-01-20,Washington,38.9072,-77.0369,13.44,29.61,29.58,21.0,6.18,0.51,34,24.63,39.1,6.4,1,20
2019-01-21,Washington,38.9072,-77.0369,13.15,29.52,38.1,26.78,6.74,0.51,35,13.53,34.4,3.2,1,21
2019-01-22,Washington,38.9072,-77.0369,9.61,29.26,39.68,23.94,6.16,0.5,36,20.7,41.1,9.4,1,22
2019-01-23,Washington,38.9072,-77.0369,15.41,21.15,20.22,18.96,5.72,0.63,24,5.02,64.0,1.5,1,23
2019-01-24,Washington,38.9072,-77.0369,12.22,18.86,20.66,15.23,4.74,0.51,17,13.42,52.0,6.7,1,24
